2020-10-31,Colorado Springs,Colorado,Red Rocks Amphitheatre,DOWNTOWN-COLORADO-SPRINGS-w1920.jpg
2020-11-03,New York City,New York,Kings Theatre,689px-Kings_Theatre_Flatbush_finished_jeh.jpg
2020-11-04,New York City,New York,Kings Theatre,689px-Kings_Theatre_Flatbush_finished_jeh.jpg
2020-11-05,Boston,Massachusetts,House of Blues,1280px-Kenmore.jpg
2020-11-07,Washington D.C.,Washington D.C.,The Anthem,960px-Anthem_Stage_-_Phoenix_October_16_2017.jpg
2020-11-08,Philadelphia,Pennsylvania,The Fillmore,venue-info-philly-1.jpg
2020-11-09,Pittsburgh,Pennsylvania,Stage AE,stage-ae.jpg
2020-11-10,Columbus,Ohio,Express Live!,1280px-LC_Pavillion.jpg
2020-11-12,Detroit,Michigan,The Fillmore,966px-Fillmore_Detroit_marquee.jpg
2020-11-13,Chicago,Illinois,Riviera Theatre,1080px-Chicago_Riviera_Theatre.jpg
2020-11-14,Chicago,Illinois,Riviera Theatre,1080px-Chicago_Riviera_Theatre.jpg
2020-12-14,Seattle,Washingtion,Moore Theatre,540px-Seattle_-_The_Moore_Theater_entrance_01.jpg
2020-12-15,Portland,Oregon,Crystal Ballroom,1060px-Crystal_Ballroom_-_Portland_Oregon_(2017).jpg
2020-12-17,Oakland,California,Fox Oakland Theatre,540px-Fox_Oakland_Theatre.jpg
2020-12-18,Oakland,California,Fox Oakland Theatre,540px-Fox_Oakland_Theatre.jpg
2020-12-21,Los Angeles,California,Hollywood Palladium,942px-Hollywood_Palladium_2012.jpg
2020-12-30,Las Vegas,Nevada,The Joint at Hard Rock Hotel and Casino,The_Joint_(music_venue).jpg
2020-12-31,Las Vegas,Nevada,The Joint at Hard Rock Hotel and Casino,The_Joint_(music_venue).jpg
2021-07-25,Morrison,Colorado,Red Rocks Amphitheatre,RedRocksAMP.jpg
2021-07-27,Kansas City,Missouri,Starlight Theatre,1080px-Starlight_Theatre_Stage.jpg
2021-07-28,Lincoln,Nebraska,Pinewood Bowl Theatre,PWB-Overhead-v03.jpg
2021-07-30,Saint Paul,Minnesota,Palace Theatre,720px-Palace_Theatre_Saint_Paul.jpg
2021-07-31,Saint Paul,Minnesota,Palace Theatre,720px-Palace_Theatre_Saint_Paul.jpg
2021-08-02,St. Louis,Missouri,Stifel Theatre,Stifel-Main-Theatre-eee3c3fdc9.jpg
2021-08-03,Chicago,Illinois,Lollapalooza Festival,1211px-Lollapalooza_2015.jpg
2021-08-04,Nashville,Tennesse,Ascend Amphitheater,1280px-Ascend_Amphitheater_on_August_1_2015.jpg
2021-08-05,Atlanta,Georgia,Coca-Cola Roxy,959px-Coca-Cola_Roxy_Theater.jpg
2021-10-15,New Orleans,Louisiana,The Fillmore,Crowd2F--511x368.jpg
2021-10-16,Houston,Texas,Revention Music Center,540px-BayouPlace0.jpg
2021-10-17,Austin,Texas,ACL Live,1080px-Austin_August_2019_32_(Block_21).jpg
2021-10-19,Dallas,Texas,The Bomb Factory,THE_BOMB_FACTORY.jpg
2021-10-20,Oklahoma City,Oklahoma,The Criterion,0O5A0533-800x533.jpg
2021-10-21,Tulsa,Oklahoma,Brady Theater,brady.jpg
2021-10-23,Phoenix,Arizona,Comerica Theatre,960px-Dodge_Theater_-_SEC_-_2009-09-04.jpg
2021-10-25,San Francisco,California,Masonic Auditorium,960px-Nob_Hill_Masonic_Center-San_Francisco.jpg
2021-10-26,Reno,Nevada,Grand Theatre at the Grand Sierra Resort,Grant-Sierra-Theatre-2-of-7.jpg
2021-10-27,Santa Barbara,California,Arlington Theater,1080px-Arlington-front.jpg
2021-10-29,Los Angeles,California,Wiltern Theater,Wiltern.01.jpg